xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
2386.72	2141.55	2.56728	2407.17	2149.62	3.01513	2397.45	2145.78	2.78752	2.51941e-05	608.5	189.723	13.5098	9.49786	0.711153	16.7145	10.3812	0.783738	26.612	10.2758	0.922443	0	0
2245.57	1859.48	3.47572	2268.13	1845.06	3.79266	2256.46	1852.53	3.71747	0.000151804	1115	161.338	14.8082	13.6088	0.394245	19.1663	10.793	0.826375	31.6922	12.3719	0.920656	0	1
1670	1673.75	2.09339	1688.05	1702.52	2.18504	1679.11	1688.26	2.13521	0.000136835	1243.5	175.238	18.6539	11.4099	0.791119	21.2903	10.2822	0.875646	39.4199	10.8557	0.961333	0	2
1882.52	1653.53	2.37519	1906.33	1678.54	2.31591	1894.72	1666.33	2.33347	0.0002873	1239	176.794	19.4869	10.7581	0.8338	21.4999	10.3753	0.875854	40.149	10.5397	0.964928	0	3
2658.96	1492.84	3.03955	2691.61	1496.7	2.95178	2675.36	1494.78	3.01423	3.35828e-05	1221	244.853	18.4116	11.9329	0.761541	23.2955	11.33	0.873758	38.999	11.649	0.954347	0	4
1907.16	1383.15	2.95437	1917.19	1410.11	1.67312	1912.16	1396.63	1.92202	0.000434173	1475	197.966	17.8564	14.9764	0.544574	19.732	13.5184	0.728447	33.764	15.6141	0.886646	0	5
1893.67	1347.96	1.15754	1905.61	1353.98	2.57325	1899.55	1350.92	2.62349	0.000445687	493	104.569	13.9621	6.69311	0.877608	11.4004	9.46913	0.556873	16.2869	11.9233	0.681221	0	6
1752.66	1229.31	2.02721	1761.15	1257.44	1.79455	1756.85	1243.19	1.86021	0.000542256	1243	221.48	16.6198	13.6117	0.573784	21.9729	12.1923	0.83193	35.187	12.9829	0.929441	0	7
2588.39	1268.34	4.97127	2577.22	1234.98	5.17125	2583.25	1252.99	5.04603	0.000346467	1416.5	192.752	21.1781	12.5994	0.803782	23.3017	10.5951	0.89065	41.4334	11.8645	0.958125	0	8
518.673	1163.02	4.2903	533.663	1131.17	4.48656	525.099	1149.36	4.30902	0.000603371	627	240.108	19.9862	8.52325	0.904508	26.1869	6.64097	0.96731	41.585	8.36647	0.979552	0	9
2175.17	1035.47	2.35215	2195.7	1052.74	2.5175	2185.47	1044.14	2.44488	7.55875e-05	1043.5	146.752	15.6784	11.6843	0.666783	17.4753	10.7663	0.787679	31.5304	11.25	0.934182	0	10
433.069	1064.4	4.42053	439.269	1028.95	4.58287	436.038	1047.41	4.53098	0.00110472	523.5	246.35	19.915	7.46566	0.927075	19.6721	5.73681	0.956534	41.0159	6.84174	0.98599	0	11
1060.96	949.252	3.97653	1086.6	919.484	4.08401	1073.25	934.983	4.00752	7.49989e-05	1817.5	208.492	23.1783	13.989	0.797332	23.8658	12.7064	0.846486	45.7543	13.4189	0.956026	0	12
1954.49	834.876	0.714812	1922.09	865.173	0.680841	1939.36	849.023	0.740464	1.03903e-05	2275	236.735	25.6229	16.1791	0.775432	28.1765	13.3246	0.881117	51.7341	14.9386	0.957402	0	13
